timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:30Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:30Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:30Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:32Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:32Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:32Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:33Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:33Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:33Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:34Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:34Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:34Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:36Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:36Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:36Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:37Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:37Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:37Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:38Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:38Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:38Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:40Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:40Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:40Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:41Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:41Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:41Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:43Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:43Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:43Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:44Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:44Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:44Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:45Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:45Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:45Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:47Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:47Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:47Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:48Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:48Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:48Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:49Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:49Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:49Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:51Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:51Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:51Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:52Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:52Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:52Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:54Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:54Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:54Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:55Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:55Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:55Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:56Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:56Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:56Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,160699n,18344Ki
2025-05-18T13:07:58Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,228925n,11768Ki
2025-05-18T13:07:58Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,571138646n,14324Ki
2025-05-18T13:07:58Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,538391592n,16252Ki
2025-05-18T13:07:59Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,893813n,17872Ki
2025-05-18T13:07:59Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,241729n,3832Ki
2025-05-18T13:07:59Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,407133n,14364Ki
2025-05-18T13:07:59Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,114891n,11788Ki
2025-05-18T13:07:59Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,137324n,15824Ki
2025-05-18T13:07:59Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,248377n,10028Ki
